	Код	Артикул	Номенклатура	Остаток организации	Цена	Единица измерения	Валюта
	00000010294		 Гоф.145х330х750 (ЩУ48)			Штука	
	00000008517		 ЕР 18124/2В			Штука	
	00000014749		 ЕР 18124/2В (старая)			Штука	
	00000008478	ЭП020.010-00СБ	 ЕР 1864/1 (старая)			Штука	
	00000008515	ЭП020.020-00СБ	 ЕР 1884/1 (старая)			Штука	
	00000009654	ЭП020.030-00СБ	 ЕР 1884/2 (старая)			Штука	
	00000008607	ЭП020.200-00СБ	 ЕР 1884/2 В (старая)			Штука	
	00000008569		 ЕР 20104/2 (старая)			Штука	
	00000008514	ЭП020.017-00СБ	 ЕР 20124/2 (старая)			Штука	
	00000008534	ЭП020.100-00СБ	 ЕР 2064/1 (старая)			Штука	
	00000008564	ЭП020.120-00СБ	 ЕР 2084/1 (старая)			Штука	
	00000009103	ЭП020.020-00СБ	 ЕС 1884/1 IP40			Штука	
	00000009892		 Крышка верхняя КВ 126Т			Штука	
	00000012160		 М 6.25 В			Штука	
	00000013548		 МК ЩО 2046 (ЕР)			Штука	
	00000008575		 МКН 54.25IP31			Штука	
	00000010401		 МКН 552 IP31			Штука	
	00000010402		 МКН 64.25 IP31			Штука	
	00000010403	ЭП013300.000СБ	 МКН 652 IP31			Штука	
	00000010404		 МКН 662 IP31			Штука	
	00000010405		 МКН 75.25 IP31			Штука	
	00000010406		 МКН 8.65.24 IP31			Штука	
	00000010346	ЭП080.007-01	 Мп  8.65.Панель монтажная			Штука	
	00000008111	ЭП.051930.001	 МПС 106М.Панель монтажная			Штука	
	00000008115	ЭП.051930.001-02	 МПС 126М.Панель монтажная			Штука	
	00000007747	ЭП.051930.001-04	 МПС 146М.Панель монтажная			Штука	
	00000007754	ЭП.051930.001	 МПС 166М.Панель монтажная			Штука	
	00000007760	ЭП.051930.001-09	 МПС 167М.Панель монтажная			Штука	
	00000012502	ЭП.033700.005	 Направляющая 42U			Штука	
	00000009921	ЭП049810.001	 ОВ3315М.Обечайка верхняя.Д			Штука	
	00000009930	ЭП049810.001-02	 ОВ4315М.Обечайка верхняя.Д			Штука	
	00000013155	ЭП.056100.001-22	 Пластина боковая ПлБ41ТС			Штука	
	00000013154	ЭП.056100.001-22	 Пластина боковая ПлБ41ТС.Д			Штука	
	00000013157	ЭП.056100.001-23	 Пластина боковая ПлБ61ТС			Штука	
	00000013156	ЭП.056100.001-23	 Пластина боковая ПлБ61ТС.Д			Штука	
	00000013159	ЭП.056100.001-24	 Пластина боковая ПлБ81ТС			Штука	
	00000013158	ЭП.056100.001-24	 Пластина боковая ПлБ81ТС.Д			Штука	
	00000013110	ЭП.028901.011	 Пластина монтажная ПМ-6.25ТВ			Штука	
	00000013109	ЭП.028901.011	 Пластина монтажная ПМ-8.25Т			Штука	
	00000013151	ЭП.056100.001-20	 Пластина передняя ПлП101ТС			Штука	
	00000013150	ЭП.056100.001-20	 Пластина передняя ПлП101ТС.Д			Штука	
	00000013153	ЭП.056100.001-21	 Пластина передняя ПлП121ТС			Штука	
	00000013152	ЭП.056100.001-21	 Пластина передняя ПлП121ТС.Д			Штука	
	00000013147	ЭП.056100.001-18	 Пластина передняя ПлП61ТС			Штука	
	00000013146	ЭП.056100.001-18	 Пластина передняя ПлП61ТС.Д			Штука	
	00000013149	ЭП.056100.001-19	 Пластина передняя ПлП81ТС			Штука	
	00000013148	ЭП.056100.001-19	 Пластина передняя ПлП81ТС.Д			Штука	
	00000012510		 Соединитель каркасов СК ЕР 206			Штука	
	00000008745	ЭП.033303.001СБ	 Стенка боковая БС 186Т (IP40)			Штука	
	00000008461		 Стойка монтажная СМ 16Т			Штука	
